# Time-Parameterized Trajectory Data
# Format: trajectory = [(x0, y0, t0), (x1, y1, t1), ..., (xn, yn, tn)]
#
# Total points: 100
#
# Index, X (m), Y (m), Time (s)
# --------------------------------------------------
   0,   0.0000,  -0.0000,   0.0000
   1,   0.1176,  -0.0722,   0.9594
   2,   0.2281,  -0.1273,   1.3203
   3,   0.3318,  -0.1663,   1.5754
   4,   0.4293,  -0.1902,   1.7786
   5,   0.5208,  -0.2001,   1.9628
   6,   0.6070,  -0.1971,   2.1352
   7,   0.6882,  -0.1822,   2.3003
   8,   0.7649,  -0.1564,   2.4621
   9,   0.8375,  -0.1209,   2.6238
  10,   0.9064,  -0.0767,   2.7876
  11,   0.9722,  -0.0248,   2.9552
  12,   1.0352,   0.0338,   3.1272
  13,   1.0959,   0.0978,   3.3037
  14,   1.1548,   0.1664,   3.4844
  15,   1.2122,   0.2384,   3.6686
  16,   1.2687,   0.3128,   3.8554
  17,   1.3246,   0.3885,   4.0437
  18,   1.3805,   0.4644,   4.2322
  19,   1.4367,   0.5396,   4.4200
  20,   1.4937,   0.6130,   4.6058
  21,   1.5519,   0.6834,   4.7886
  22,   1.6118,   0.7499,   4.9676
  23,   1.6739,   0.8114,   5.1423
  24,   1.7385,   0.8668,   5.3126
  25,   1.8061,   0.9151,   5.4788
  26,   1.8772,   0.9553,   5.6421
  27,   1.9522,   0.9862,   5.8043
  28,   2.0316,   1.0068,   5.9683
  29,   2.1151,   1.0174,   6.1367
  30,   2.2021,   1.0198,   6.3107
  31,   2.2916,   1.0160,   6.4900
  32,   2.3829,   1.0079,   6.6731
  33,   2.4749,   0.9976,   6.8584
  34,   2.5670,   0.9870,   7.0437
  35,   2.6581,   0.9781,   7.2269
  36,   2.7475,   0.9729,   7.4060
  37,   2.8343,   0.9733,   7.5795
  38,   2.9176,   0.9813,   7.7469
  39,   2.9966,   0.9989,   7.9087
  40,   3.0706,   1.0277,   8.0675
  41,   3.1399,   1.0668,   8.2268
  42,   3.2053,   1.1151,   8.3893
  43,   3.2673,   1.1713,   8.5567
  44,   3.3267,   1.2340,   8.7294
  45,   3.3839,   1.3020,   8.9072
  46,   3.4398,   1.3740,   9.0894
  47,   3.4948,   1.4488,   9.2751
  48,   3.5497,   1.5249,   9.4629
  49,   3.6051,   1.6012,   9.6515
  50,   3.6616,   1.6764,   9.8396
  51,   3.7200,   1.7492,  10.0261
  52,   3.7807,   1.8182,  10.2099
  53,   3.8444,   1.8822,  10.3907
  54,   3.9119,   1.9400,  10.5683
  55,   3.9837,   1.9902,  10.7435
  56,   4.0604,   2.0317,  10.9178
  57,   4.1415,   2.0643,  11.0928
  58,   4.2264,   2.0885,  11.2693
  59,   4.3142,   2.1045,  11.4478
  60,   4.4042,   2.1129,  11.6285
  61,   4.4955,   2.1140,  11.8112
  62,   4.5874,   2.1081,  11.9954
  63,   4.6791,   2.0956,  12.1805
  64,   4.7698,   2.0769,  12.3658
  65,   4.8588,   2.0523,  12.5503
  66,   4.9452,   2.0224,  12.7333
  67,   5.0283,   1.9873,  12.9136
  68,   5.1077,   1.9476,  13.0912
  69,   5.1836,   1.9034,  13.2668
  70,   5.2562,   1.8550,  13.4412
  71,   5.3257,   1.8029,  13.6151
  72,   5.3924,   1.7472,  13.7889
  73,   5.4566,   1.6883,  13.9631
  74,   5.5184,   1.6264,  14.1380
  75,   5.5781,   1.5619,  14.3137
  76,   5.6360,   1.4951,  14.4905
  77,   5.6922,   1.4263,  14.6683
  78,   5.7471,   1.3557,  14.8471
  79,   5.8008,   1.2836,  15.0269
  80,   5.8536,   1.2105,  15.2073
  81,   5.9057,   1.1364,  15.3884
  82,   5.9574,   1.0619,  15.5699
  83,   6.0089,   0.9871,  15.7515
  84,   6.0604,   0.9123,  15.9331
  85,   6.1123,   0.8379,  16.1145
  86,   6.1646,   0.7641,  16.2954
  87,   6.2177,   0.6913,  16.4756
  88,   6.2718,   0.6197,  16.6550
  89,   6.3271,   0.5497,  16.8335
  90,   6.3838,   0.4815,  17.0109
  91,   6.4423,   0.4155,  17.1874
  92,   6.5027,   0.3519,  17.3628
  93,   6.5653,   0.2910,  17.5375
  94,   6.6304,   0.2332,  17.7115
  95,   6.6980,   0.1787,  17.8908
  96,   6.7686,   0.1278,  18.0935
  97,   6.8423,   0.0809,  18.3346
  98,   6.9193,   0.0382,  18.6506
  99,   7.0000,   0.0000,  19.4220

# Python format:
trajectory = [
    (0.0000, -0.0000, 0.0000),
    (0.1176, -0.0722, 0.9594),
    (0.2281, -0.1273, 1.3203),
    (0.3318, -0.1663, 1.5754),
    (0.4293, -0.1902, 1.7786),
    (0.5208, -0.2001, 1.9628),
    (0.6070, -0.1971, 2.1352),
    (0.6882, -0.1822, 2.3003),
    (0.7649, -0.1564, 2.4621),
    (0.8375, -0.1209, 2.6238),
    (0.9064, -0.0767, 2.7876),
    (0.9722, -0.0248, 2.9552),
    (1.0352, 0.0338, 3.1272),
    (1.0959, 0.0978, 3.3037),
    (1.1548, 0.1664, 3.4844),
    (1.2122, 0.2384, 3.6686),
    (1.2687, 0.3128, 3.8554),
    (1.3246, 0.3885, 4.0437),
    (1.3805, 0.4644, 4.2322),
    (1.4367, 0.5396, 4.4200),
    (1.4937, 0.6130, 4.6058),
    (1.5519, 0.6834, 4.7886),
    (1.6118, 0.7499, 4.9676),
    (1.6739, 0.8114, 5.1423),
    (1.7385, 0.8668, 5.3126),
    (1.8061, 0.9151, 5.4788),
    (1.8772, 0.9553, 5.6421),
    (1.9522, 0.9862, 5.8043),
    (2.0316, 1.0068, 5.9683),
    (2.1151, 1.0174, 6.1367),
    (2.2021, 1.0198, 6.3107),
    (2.2916, 1.0160, 6.4900),
    (2.3829, 1.0079, 6.6731),
    (2.4749, 0.9976, 6.8584),
    (2.5670, 0.9870, 7.0437),
    (2.6581, 0.9781, 7.2269),
    (2.7475, 0.9729, 7.4060),
    (2.8343, 0.9733, 7.5795),
    (2.9176, 0.9813, 7.7469),
    (2.9966, 0.9989, 7.9087),
    (3.0706, 1.0277, 8.0675),
    (3.1399, 1.0668, 8.2268),
    (3.2053, 1.1151, 8.3893),
    (3.2673, 1.1713, 8.5567),
    (3.3267, 1.2340, 8.7294),
    (3.3839, 1.3020, 8.9072),
    (3.4398, 1.3740, 9.0894),
    (3.4948, 1.4488, 9.2751),
    (3.5497, 1.5249, 9.4629),
    (3.6051, 1.6012, 9.6515),
    (3.6616, 1.6764, 9.8396),
    (3.7200, 1.7492, 10.0261),
    (3.7807, 1.8182, 10.2099),
    (3.8444, 1.8822, 10.3907),
    (3.9119, 1.9400, 10.5683),
    (3.9837, 1.9902, 10.7435),
    (4.0604, 2.0317, 10.9178),
    (4.1415, 2.0643, 11.0928),
    (4.2264, 2.0885, 11.2693),
    (4.3142, 2.1045, 11.4478),
    (4.4042, 2.1129, 11.6285),
    (4.4955, 2.1140, 11.8112),
    (4.5874, 2.1081, 11.9954),
    (4.6791, 2.0956, 12.1805),
    (4.7698, 2.0769, 12.3658),
    (4.8588, 2.0523, 12.5503),
    (4.9452, 2.0224, 12.7333),
    (5.0283, 1.9873, 12.9136),
    (5.1077, 1.9476, 13.0912),
    (5.1836, 1.9034, 13.2668),
    (5.2562, 1.8550, 13.4412),
    (5.3257, 1.8029, 13.6151),
    (5.3924, 1.7472, 13.7889),
    (5.4566, 1.6883, 13.9631),
    (5.5184, 1.6264, 14.1380),
    (5.5781, 1.5619, 14.3137),
    (5.6360, 1.4951, 14.4905),
    (5.6922, 1.4263, 14.6683),
    (5.7471, 1.3557, 14.8471),
    (5.8008, 1.2836, 15.0269),
    (5.8536, 1.2105, 15.2073),
    (5.9057, 1.1364, 15.3884),
    (5.9574, 1.0619, 15.5699),
    (6.0089, 0.9871, 15.7515),
    (6.0604, 0.9123, 15.9331),
    (6.1123, 0.8379, 16.1145),
    (6.1646, 0.7641, 16.2954),
    (6.2177, 0.6913, 16.4756),
    (6.2718, 0.6197, 16.6550),
    (6.3271, 0.5497, 16.8335),
    (6.3838, 0.4815, 17.0109),
    (6.4423, 0.4155, 17.1874),
    (6.5027, 0.3519, 17.3628),
    (6.5653, 0.2910, 17.5375),
    (6.6304, 0.2332, 17.7115),
    (6.6980, 0.1787, 17.8908),
    (6.7686, 0.1278, 18.0935),
    (6.8423, 0.0809, 18.3346),
    (6.9193, 0.0382, 18.6506),
    (7.0000, 0.0000, 19.4220)
]
